year,age_group,gender,area_code,area_name,pop_estimate
2009,All ages,Persons,W06000014,Vale of Glamorgan,126162
2009,All ages,Persons,W06000015,Cardiff,337656
2009,All ages,Persons,W06000016,Rhondda Cynon Taf,234743
2009,All ages,Persons,W06000018,Caerphilly,177159
2009,All ages,Persons,W06000019,Blaenau Gwent,69850
2009,All ages,Persons,W06000020,Torfaen,91199
2009,All ages,Persons,W06000021,Monmouthshire,90557
2009,All ages,Persons,W06000022,Newport,143753
2009,All ages,Persons,W06000023,Powys,133090
2009,All ages,Persons,W06000024,Merthyr Tydfil,58156
2010,All ages,Persons,W06000001,Isle of Anglesey,69833
2010,All ages,Persons,W06000002,Gwynedd,121155
2010,All ages,Persons,W06000003,Conwy,114682
2010,All ages,Persons,W06000004,Denbighshire,94152
2010,All ages,Persons,W06000005,Flintshire,152080
2010,All ages,Persons,W06000006,Wrexham,134009
2010,All ages,Persons,W06000008,Ceredigion,75217
2010,All ages,Persons,W06000009,Pembrokeshire,121974
2010,All ages,Persons,W06000010,Carmarthenshire,183004
2010,All ages,Persons,W06000011,Swansea,237311
2010,All ages,Persons,W06000012,Neath Port Talbot,139638
2010,All ages,Persons,W06000013,Bridgend,138471
2010,All ages,Persons,W06000014,Vale of Glamorgan,126435
2010,All ages,Persons,W06000015,Cardiff,341402
2010,All ages,Persons,W06000016,Rhondda Cynon Taf,234459
2010,All ages,Persons,W06000018,Caerphilly,178101
2010,All ages,Persons,W06000019,Blaenau Gwent,69798
2010,All ages,Persons,W06000020,Torfaen,91060
2010,All ages,Persons,W06000021,Monmouthshire,91016
2010,All ages,Persons,W06000022,Newport,144803
2010,All ages,Persons,W06000023,Powys,132878
2010,All ages,Persons,W06000024,Merthyr Tydfil,58493
2011,All ages,Persons,W06000001,Isle of Anglesey,69913
2011,All ages,Persons,W06000002,Gwynedd,121523
2011,All ages,Persons,W06000003,Conwy,115326
2011,All ages,Persons,W06000004,Denbighshire,93919
2011,All ages,Persons,W06000005,Flintshire,152666
2011,All ages,Persons,W06000006,Wrexham,135070
2011,All ages,Persons,W06000008,Ceredigion,75293
2011,All ages,Persons,W06000009,Pembrokeshire,122613
2011,All ages,Persons,W06000010,Carmarthenshire,183961
2011,All ages,Persons,W06000011,Swansea,238691
2011,All ages,Persons,W06000012,Neath Port Talbot,139880
2011,All ages,Persons,W06000013,Bridgend,139410
2011,All ages,Persons,W06000014,Vale of Glamorgan,126679
2011,All ages,Persons,W06000015,Cardiff,345442
2011,All ages,Persons,W06000016,Rhondda Cynon Taf,234373
2011,All ages,Persons,W06000018,Caerphilly,178782
2011,All ages,Persons,W06000019,Blaenau Gwent,69812
2011,All ages,Persons,W06000020,Torfaen,91190
2011,All ages,Persons,W06000021,Monmouthshire,91508
2011,All ages,Persons,W06000022,Newport,145785
2011,All ages,Persons,W06000023,Powys,133071
2011,All ages,Persons,W06000024,Merthyr Tydfil,58851
2012,All ages,Persons,W06000001,Isle of Anglesey,70037
2012,All ages,Persons,W06000002,Gwynedd,122007
2012,All ages,Persons,W06000003,Conwy,115553
2012,All ages,Persons,W06000004,Denbighshire,94053
2012,All ages,Persons,W06000005,Flintshire,152776
2012,All ages,Persons,W06000006,Wrexham,135498
2012,All ages,Persons,W06000008,Ceredigion,75932
2012,All ages,Persons,W06000009,Pembrokeshire,123135
2012,All ages,Persons,W06000010,Carmarthenshire,184332
2012,All ages,Persons,W06000011,Swansea,239460
2012,All ages,Persons,W06000012,Neath Port Talbot,140081
2012,All ages,Persons,W06000013,Bridgend,139769
2012,All ages,Persons,W06000014,Vale of Glamorgan,126998
2012,All ages,Persons,W06000015,Cardiff,348724
2012,All ages,Persons,W06000016,Rhondda Cynon Taf,235612
2012,All ages,Persons,W06000018,Caerphilly,179014
2012,All ages,Persons,W06000019,Blaenau Gwent,69806
2012,All ages,Persons,W06000020,Torfaen,91346
2012,All ages,Persons,W06000021,Monmouthshire,91737
2012,All ages,Persons,W06000022,Newport,146275
2012,All ages,Persons,W06000023,Powys,133015
2012,All ages,Persons,W06000024,Merthyr Tydfil,58907
2013,All ages,Persons,W06000001,Isle of Anglesey,70073
2013,All ages,Persons,W06000002,Gwynedd,121653
2013,All ages,Persons,W06000003,Conwy,115912
2013,All ages,Persons,W06000004,Denbighshire,94518
2013,All ages,Persons,W06000005,Flintshire,153223
2013,All ages,Persons,W06000006,Wrexham,135801
2013,All ages,Persons,W06000008,Ceredigion,75789
2013,All ages,Persons,W06000009,Pembrokeshire,123375
2013,All ages,Persons,W06000010,Carmarthenshire,184669
2013,All ages,Persons,W06000011,Swansea,240108
2013,All ages,Persons,W06000012,Neath Port Talbot,139867
2013,All ages,Persons,W06000013,Bridgend,140536
2013,All ages,Persons,W06000014,Vale of Glamorgan,127436
2013,All ages,Persons,W06000015,Cardiff,352146
2013,All ages,Persons,W06000016,Rhondda Cynon Taf,236166
2013,All ages,Persons,W06000018,Caerphilly,179230
2013,All ages,Persons,W06000019,Blaenau Gwent,69764
2013,All ages,Persons,W06000020,Torfaen,91362
2013,All ages,Persons,W06000021,Monmouthshire,92249
2013,All ages,Persons,W06000022,Newport,146741
2013,All ages,Persons,W06000023,Powys,132786
2013,All ages,Persons,W06000024,Merthyr Tydfil,59008
2014,All ages,Persons,W06000001,Isle of Anglesey,70141
2014,All ages,Persons,W06000002,Gwynedd,121897
2014,All ages,Persons,W06000003,Conwy,116420
2014,All ages,Persons,W06000004,Denbighshire,94837
